Columns Steel - Data,,,,,,,,,,,,,,,,,
Mark,Type Mark,Family,Type,Classification.MasterFormat.Description,Classification.MasterFormat.Number,Count,Base Level,Base Offset,Top Level,Top Offset,Length,Column Location Mark,BHE_Material,Workset,BHE_Material Grade,Tonnage By Volume,
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1C-11,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-125,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-124,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-123,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-122,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-121,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-120,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-119,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-118,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-117,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-116,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-115,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-114,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-113,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-112,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-111,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-110,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-19,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1F-18,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
